mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.0144847234090169,0.018167109431448208,0.006778240203857422,0.001169153581743808,0.6,300,10,6,0.5,1,1.0,0,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 1.0, 'alpha': 0}",-12.610462747351843,-13.259666052963546,-13.289084250934671,-13.053071017083354,0.3132016580618183,1843
0.1825277010599772,0.001460218359408477,0.003306706746419271,0.00023388699234912392,0.8,100,5,3,0.5,1,1.0,0,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 1.0, 'alpha': 0}",-13.233329593222518,-13.815193698547114,-13.757239883694997,-13.60192105848821,0.26170519338116655,4698
1.056479533513387,0.028163064333924223,0.007605234781901042,0.0009353790630159801,0.8,600,5,4,0.05,1,0.4,0.5,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 0.4, 'alpha': 0.5}",-13.743895240486847,-13.785112430618081,-14.045443704992927,-13.858150458699285,0.13350102189618046,5188
0.7800422509511312,0.009705556696506263,0.007770538330078125,0.000842854852917967,1.0,300,1,7,0.2,0.5,0.4,1.5,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.4, 'alpha': 1.5}",-12.486722686942533,-12.730794827754734,-13.387223337840231,-12.868246950845831,0.3802588330540854,361
0.9809222221374512,0.011152077647914857,0.0059519608815511065,5.619579801452537e-07,0.4,300,5,6,0.05,5,1.0,0.5,"{'subsample': 0.4, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 1.0, 'alpha': 0.5}",-12.928639434355468,-13.268156588226438,-13.47099960771834,-13.222598543433415,0.22374880408853387,3104
1.314729928970337,0.02504769675005702,0.008101224899291992,0.0002336621281443965,0.6,600,10,5,0.2,2,0.4,5,"{'subsample': 0.6, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 2, 'colsample_bytree': 0.4, 'alpha': 5}",-12.572645425644355,-12.857698881871274,-13.420051161745958,-12.950131823087196,0.35207196883671804,939
0.9285111427307129,0.004228207419691317,0.007936239242553711,0.0014028157362273059,0.4,300,10,7,0.01,5,0.6,1,"{'subsample': 0.4, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 0.6, 'alpha': 1}",-17.881366768816864,-17.80708642198483,-19.660767282100505,-18.449740157634068,0.8568622661106661,7552
0.8871778647104899,0.0030396523284571355,0.00562135378519694,0.0006187429096057525,0.4,600,1,3,0.05,5,0.4,0.5,"{'subsample': 0.4, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.4, 'alpha': 0.5}",-14.790229145579252,-14.678467956028436,-15.161488086056291,-14.876728395887994,0.20646016844420167,6282
0.24436219533284506,0.00618621815063245,0.004133462905883789,0.00023366220923500005,0.4,100,5,5,0.2,1,0.6,2,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 1, 'colsample_bytree': 0.6, 'alpha': 2}",-13.116278705744758,-13.495492618885962,-13.85368800211742,-13.48848644224938,0.3010868451432831,4404
0.7542499701182047,0.005513265654842988,0.006778796513875325,0.0011694345566822732,0.8,300,1,6,0.2,1,0.4,0,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 1, 'colsample_bytree': 0.4, 'alpha': 0}",-12.502736996652223,-12.966347565894415,-13.35070484823543,-12.939929803594021,0.34668505683918216,862
0.17822893460591635,0.006584167990795611,0.004629453023274739,0.001301752841649384,0.4,100,10,4,0.5,2,0.4,0,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 2, 'colsample_bytree': 0.4, 'alpha': 0}",-14.03627830955176,-14.281768138762919,-14.866979801290645,-14.39500874986844,0.34845738055699776,5963
0.26684753100077313,0.0017656958074849457,0.005125522613525391,0.0006187216466234192,1.0,100,5,6,0.05,2,0.6,1,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.6, 'alpha': 1}",-14.046560699618297,-14.445899030399028,-14.804750231039181,-14.432403320352167,0.30967665075183026,5991
1.2014760971069336,0.004865799218986455,0.009093761444091797,0.0002336634255906764,0.4,600,1,4,0.01,2,0.6,0,"{'subsample': 0.4, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.6, 'alpha': 0}",-16.07707784859967,-16.321069319657763,-16.885676683418378,-16.42794128389194,0.33864852130391815,7013
0.16020735104878744,0.0014605423084622811,0.003306865692138672,0.0002336621281443965,0.4,100,10,3,0.01,0.5,0.6,2,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.6, 'alpha': 2}",-65.00422596427208,-66.08889242898732,-67.67035252043034,-66.25449030456325,1.094722094311161,8695
0.2347728411356608,0.012549803392160495,0.003802696863810221,0.00023394312738277405,1.0,100,10,5,0.05,1,0.6,1,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 0.6, 'alpha': 1}",-15.01197942434603,-15.444652722575906,-15.701738185452218,-15.386123444124719,0.2846179245441136,6672
0.88552459081014,0.00753668912688317,0.007109721501668294,0.00023377460079204327,1.0,600,1,3,0.2,5,1.0,0,"{'subsample': 1.0, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 5, 'colsample_bytree': 1.0, 'alpha': 0}",-12.438969502985563,-13.13011533796939,-13.19183571673896,-12.920306852564636,0.341288328117367,712
1.1184790929158528,0.00915498686988797,0.00694425900777181,0.000701604544962947,1.0,600,10,4,0.1,1,0.8,1.5,"{'subsample': 1.0, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.8, 'alpha': 1.5}",-12.510210755140012,-12.738741860072247,-13.242977250603515,-12.830643288605259,0.3061275209704522,197
1.0313483874003093,0.020075930085362338,0.0054560502370198565,0.000701267370178106,0.4,600,5,3,0.1,2,1.0,0,"{'subsample': 0.4, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 2, 'colsample_bytree': 1.0, 'alpha': 0}",-13.262161917763889,-13.343901113589675,-13.569759170890702,-13.391940734081421,0.13008938308084814,4021
0.29974937438964844,0.003273172431718456,0.004464149475097656,3.371747880871523e-07,0.4,100,5,7,0.5,1.5,0.4,2,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.5, 'gamma': 1.5, 'colsample_bytree': 0.4, 'alpha': 2}",-13.212558848963734,-13.545448030611063,-13.702123568518205,-13.486710149364335,0.20413395549349123,4393
